testCase,Heuristic,cost,after_2Opt,after_nodeShift,after_nodeSwap
a280.tsp,nearestInsertion,3075.98,2861.16,2797.6,2974.06
,nearestNeighbour,3228.97,2792.75,2937.1,3152.19
,simpleMST,2960.48,2672.2,2785.89,2910.59
berlin52.tsp,nearestInsertion,9430.43,8464.99,8305.73,8795.76
,nearestNeighbour,8997,8104.27,8270.97,8765.05
,simpleMST,9954.06,8405.31,8891.32,9104.4
bier127.tsp,nearestInsertion,145526,131616,136227,140322
,nearestNeighbour,141123,124473,131283,139166
,simpleMST,141351,122465,123632,131045
ch130.tsp,nearestInsertion,7377.26,6661.47,6752.52,7130.24
,nearestNeighbour,7586.83,6626.23,7020.73,7427.87
,simpleMST,7844.94,6501.32,7086.01,7684.89
ch150.tsp,nearestInsertion,7916.71,7601.15,7341.67,7764.08
,nearestNeighbour,7682.14,7060.66,7268.46,7577.77
,simpleMST,7743.04,6985.94,7204.8,7578.69
eil101.tsp,nearestInsertion,729.739,709.441,669.185,713.68
,nearestNeighbour,736.368,680.447,706.88,722.002
,simpleMST,794.604,690.736,672.5,722.651
eil51.tsp,nearestInsertion,514.379,449.642,456.604,480.373
,nearestNeighbour,568.028,440.919,483.477,478.45
,simpleMST,481.519,447.848,456.447,467.429
eil76.tsp,nearestInsertion,636.201,618.216,593.877,631.239
,nearestNeighbour,692.578,590.236,598.797,686.693
,simpleMST,617.131,587.114,584.889,601.978
kroA100.tsp,nearestInsertion,25306.8,23376.3,23402.2,24949.2
,nearestNeighbour,27463.5,22347.4,22749.9,23558.4
,simpleMST,24197.3,21850.9,22222.4,22624.7
kroB100.tsp,nearestInsertion,27494.8,23641.6,24046,26643.7
,nearestNeighbour,27696.6,23118,25530,26922.5
,simpleMST,25815.2,22626.2,23308.9,24976.3
kroC100.tsp,nearestInsertion,25807.6,24154.1,23259.8,25010.4
,nearestNeighbour,27972.8,22957.8,24337.6,27599.4
,simpleMST,23432.9,21505.8,22619.3,22672
kroD100.tsp,nearestInsertion,25751.4,23059.9,23442.1,24677.3
,nearestNeighbour,28484.4,23289.2,26213.7,27719.3
,simpleMST,24450.5,22257.4,22937.2,23865.6
kroE100.tsp,nearestInsertion,26216.3,24500.4,23729,25543.7
,nearestNeighbour,28637.6,23054.2,25105.5,25960.9
,simpleMST,24847.1,22739.3,22716.7,23643.3
lin105.tsp,nearestInsertion,18065.9,15494,16066.7,17683.9
,nearestNeighbour,19600.1,15742.7,16109.2,18981.7
,simpleMST,16771.8,15171.3,15071.7,16581.8
lin318.tsp,nearestInsertion,52222.9,46546.3,46187.6,50057.8
,nearestNeighbour,53744.8,45247.5,48866.4,52207.7
,simpleMST,49910.5,44747.3,45516.7,48381.8
pr124.tsp,nearestInsertion,69307.7,62027.8,64041.4,68878.5
,nearestNeighbour,70769.4,61479.6,62646.9,66389.2
,simpleMST,64997.3,60722.8,61922.8,64231.8
pr144.tsp,nearestInsertion,71729.7,60732.7,66833.7,69408.6
,nearestNeighbour,61650.7,61243.8,61012.9,61264.5
,simpleMST,65845.7,59138.2,63234.7,65726.5
pr76.tsp,nearestInsertion,130369,122206,122565,126267
,nearestNeighbour,151006,113690,116514,129654
,simpleMST,147498,111186,126802,144304
rat195.tsp,nearestInsertion,2926.34,2606.32,2527.46,2728.75
,nearestNeighbour,2669.04,2448.74,2525.41,2657.84
,simpleMST,2758.04,2469.75,2533.7,2723.25
rat99.tsp,nearestInsertion,1452.34,1323.27,1273.11,1392.88
,nearestNeighbour,1526.69,1265.61,1272.03,1360.54
,simpleMST,1481.1,1272.03,1323.76,1387.09
st70.tsp,nearestInsertion,773.065,750.999,728.264,757.433
,nearestNeighbour,830.716,726.508,778.054,810.797
,simpleMST,746.044,702.418,712.369,720.484
